Label	Story
__label__334	"EF_INT_031 [Validate] As a ClientABC Employee, I want to validate the AP Invoices (with Holds) integration from Oracle Cloud ERP to Maximo, so that data can flow smoothly."
__label__334	"EF_INT_030 [Validate] As a ClientABC Employee, I want to validate the AP Invoices integration from Oracle Cloud ERP to Maximo, so that data can flow smoothly."
__label__334	"EF_INT_007 [Validate] As a ClientABC Employee, I want to validate the SCSBill AP Invoice integration from SCSBIll to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_006 [Validate] As a ClientABC Employee, I want to validate the Costar AP Invoice integration from Costar to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_005 [Validate] As a ClientABC Employee, I want to validate the GPC Bill AP Invoice integration from GPC Bill to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_004 [Validate] As a ClientABC Employee, I want to validate the Property tax AP Invoice integration from Powerplan to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_003 [Validate] As a ClientABC Employee, I want to validate the Legal Tracker AP Invoice integration from Legal Tracker to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_002 [Validate] As a ClientABC Employee, I want to validate the Asentinel AP Invoices integration from Asentinel to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_001 [Validate] As a ClientABC Employee, I want to validate the Maximo AP Invoice Inbound integration from Maximo to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_031 [Build] As a ClientABC Employee, I want to build the AP Invoices (with Holds) integration from Oracle Cloud ERP to Maximo, so that data can flow smoothly."
__label__334	"EF_INT_030 [Build] As a ClientABC Employee, I want to build the AP Invoices integration from Oracle Cloud ERP to Maximo, so that data can flow smoothly."
__label__334	"EF_INT_007 [Build] As a ClientABC Employee, I want to build the SCSBill AP Invoice integration from SCSBIll to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_006 [Build] As a ClientABC Employee, I want to build the Costar AP Invoice integration from Costar to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_005 [Build] As a ClientABC Employee, I want to build the GPC Bill AP Invoice integration from GPC Bill to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_004 [Build] As a ClientABC Employee, I want to build the Property tax AP Invoice integration from Powerplan to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_003 [Build] As a ClientABC Employee, I want to build the Legal Tracker AP Invoice integration from Legal Tracker to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_002 [Build] As a ClientABC Employee, I want to build the Asentinel AP Invoices integration from Asentinel to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_001 [Build] As a ClientABC Employee, I want to build the Maximo AP Invoice Inbound integration from Maximo to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_031 [Technical Design] As a ClientABC Employee, I want to design the AP Invoices (with Holds) integration from Oracle Cloud ERP to Maximo, so that data can flow smoothly."
__label__334	"EF_INT_030 [Technical Design] As a ClientABC Employee, I want to design the AP Invoices integration from Oracle Cloud ERP to Maximo, so that data can flow smoothly."
__label__334	"EF_INT_007 [Technical Design] As a ClientABC Employee, I want to design the SCSBill AP Invoice integration from SCSBIll to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_006 [Technical Design] As a ClientABC Employee, I want to design the Costar AP Invoice integration from Costar to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_005 [Technical Design] As a ClientABC Employee, I want to design the GPC Bill AP Invoice integration from GPC Bill to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_004 [Technical Design] As a ClientABC Employee, I want to design the Property tax AP Invoice integration from Powerplan to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_003 [Technical Design] As a ClientABC Employee, I want to design the Legal Tracker AP Invoice integration from Legal Tracker to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_002 [Technical Design] As a ClientABC Employee, I want to design the Asentinel AP Invoices integration from Asentinel to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_001 [Technical Design] As a ClientABC Employee, I want to design the Maximo AP Invoice Inbound integration from Maximo to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_031 [Integration Pattern] As a ClientABC Employee, I want to evaluate the AP Invoices (with Holds) integration from Oracle Cloud ERP to Maximo, so that data can flow smoothly."
__label__334	"EF_INT_030 [Integration Pattern] As a ClientABC Employee, I want to evaluate the AP Invoices integration from Oracle Cloud ERP to Maximo, so that data can flow smoothly."
__label__334	"EF_INT_006 [Integration Pattern] As a ClientABC Employee, I want to evaluate the Costar AP Invoice integration from Costar to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_007 [Integration Pattern] As a ClientABC Employee, I want to evaluate the SCSBill AP Invoice integration from SCSBIll to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_005 [Integration Pattern] As a ClientABC Employee, I want to evaluate the GPC Bill AP Invoice integration from GPC Bill to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_004 [Integration Pattern] As a ClientABC Employee, I want to evaluate the Property tax AP Invoice integration from Powerplan to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_003 [Integration Pattern] As a ClientABC Employee, I want to evaluate the Legal Tracker AP Invoice integration from Legal Tracker to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_002 [Integration Pattern] As a ClientABC Employee, I want to evaluate the Asentinel AP Invoices integration from Asentinel to Oracle Cloud ERP, so that data can flow smoothly."
__label__334	"EF_INT_001 [Integration Pattern] As a ClientABC Employee, I want to evaluate the Maximo AP Invoice Inbound integration from Maximo to Oracle Cloud ERP, so that data can flow smoothly."
__label__324	"EF_INT_041 [Validate] As a ClientABC Employee, I want to validate the AP Invoice Status/Holds integration from Oracle Cloud ERP to Maximo, so that data can flow smoothly."
__label__324	"EF_INT_041 [Build] As a ClientABC Employee, I want to build the AP Invoice Status/Holds integration from Oracle Cloud ERP to Maximo, so that data can flow smoothly."
__label__324	"EF_INT_041 [Technical Design] As a ClientABC Employee, I want to design the AP Invoice Status/Holds integration from Oracle Cloud ERP to Maximo, so that data can flow smoothly."
__label__324	"EF_INT_041 [Integration Pattern] As a ClientABC Employee, I want to evaluate the AP Invoice Status/Holds integration from Oracle Cloud ERP to Maximo, so that data can flow smoothly."
__label__332	"EF_INT_033 [Validate] As a ClientABC Employee, I want to validate the AP Taxable Reimbursements integration from Oracle Cloud ERP to SHIPS, so that data can flow smoothly."
__label__332	"EF_INT_033 [Build] As a ClientABC Employee, I want to build the AP Taxable Reimbursements integration from Oracle Cloud ERP to SHIPS, so that data can flow smoothly."
__label__332	"EF_INT_033 [Technical Design] As a ClientABC Employee, I want to design the AP Taxable Reimbursements integration from Oracle Cloud ERP to SHIPS, so that data can flow smoothly."
